,0
Mwen pa sav si tantin'w pi vie ki manman mwen.,Je ne sais pas si ta tante est plus âgée que ma mère.
"Si ou pa jen, yo pa kay pé fè'w pran san.","Si tu n’es pas à jeun, on ne pourra pas te faire de prise de sang."
Sé selman ban vòlè ki pé fè kon li.,Seuls les malfaiteurs peuvent agir comme lui.
Alé gadé kout zéklè an tèt pyébwa.,Aller voir les éclairs au faîte des arbres.
Pitit mwen ka étidyé ajustaj adan lékol.,Mon enfant étudie l’ajustage à l’école.
Ou té kay di sé chemiz Hektò-a pa ajusté kon i fo.,On aurait dit que la chemise d’Hector n’est pas ajustée comme il faut.
I travay venn lanné kon ajustè adan izin Lareinty-la.,Il a travaillé vingt ans comme ajusteur à l’usine du Lareinty.
"On ti moman pasé, mwen tann Dodine ka fè bri.","Un moment passe, j’entends Dodine s’agiter."
Tout d'swit i di sé pawòl la apwé...,Il ajouta aussitôt les propos suivants...
Nou fo nou mandé akt-la koté notè-a.,Il faut que nous demandions l’acte au notaire.
