request,answer
"De nos jours, il faut être un expert en tout.","An jou kon sa, i fo ou sé an ekspè an tout."
Une femme de Fond Massacre travaillait déjà le jardin à la fourche.,An fanm Viéyarga té ja kay travay jaden-an a la foch.
"Cheval, mon vieux, tu iras chercher Colibri.","Chouval, manzè, ou ké alé chaché Kolibwi."
L'apiculture demande énormément de patience.,Lapikilti sé an bagay ka mandé betjé pasians-ment.
"Mon mandat, ma chérie !","Mandat-mwen, manmanmi !"
Il se vit dans un tribunal où des crapauds à la gueule cadenassée et aux pattes attachées en croix étaient fichés sur une tige de bambou.,"I wè tè'y adan an tribinal krapo la. I bien wè krapo la épi makadansé labous épi pata'y fé bout an krwaó sopabin ki foché an dlo doubout adan yon dlo, anlè yon latig bodlapon."
C'est exactement ce que je vous dis !,Sé toubannman sé sa man ka di'w !
Tous vos cheveux n'ont pas encore blanchi.,Tout key ou pa blanchi ankò.
"Alors son cœur qui battait comme un tambour de lagghia, se calma.","Ansi lanm coeur'y- a ki té ka bat-tou-lèlouboulout, fèmen."
Mon médecin a fait un stage d'acupuncture en Chine.,Doktè-mwen fè an zéti-akiponkti-tala an la Chenn.
"Alors, son ventre éclata : boum !","Alow, vann-li krazé : boudenk !"
Il était un bel homme de grande taille aux cheveux bouclés mais cependant avec des manières un peu rustres.,"I té an bel nonm andidan dwom épi kabéchay, men tou bien bougre."
Ses manières suffisantes ne datent pas d'hier.,Mantjé kouyon-diarga'y pa fét-ya dabò.
"Dieu parlait aux hommes, comme moi je vous parle en ce moment.","Bondié té ka palé moun, kon man ka palé zot la."
"Sa grand-mère, une vieille maman Tortue.","Gran-mè'y, an gran manman Tout."
Je t'interdis de mettre les pieds dans la commune de Fond Grand-Anse.,Sé adyarga mwen ka adyarga'w abo'y adan komenn Fond Gran Lans la.
Je n'ai fait que m'enfuir droit devant moi.,Sé kantmen mwen ka voyé lanmoumontré.
"Puis, ils le jetèrent face contre terre dans un cachot de la république.","Apré, yo zoté-ya faltè dos-tè an anbazad lapotokrasi."
Les mères qui dorlotent leurs enfants.,Lè-mè ka kantikanté pitit-yo.
Il redonna à l'île le nom que lui avaient donné les Arawaks : Haïti.,I rétrédonnen lè-a I donnen la Maléwak : Ayiti.
Je vois des cieux noyés d'eau.,Man ka wè siel lebé.
Comme ces gens sont indigestes...,Sé moun-tala é ki endijéz...
"Fais ta prière, le jour t'appartient.","Fè laprière'w, jou-a pou'w."
La disette a commencé à les faire maigrir.,La kitso ki koumansé adyarga yo.
Elle a atteint l'âge de la vieillesse à l'hôpital psychiatrique de Colson.,I rivé adan laléjès la asou lopital psikiatrik Kolson.
Il faisait des dessins.,I té ka fè dé chennen.
Les ingénieurs agronomes que l'Etat avait envoyés.,Mézaizyen lagonomi konkidé Leta té voyé.
Il avait envoyé les gardes afin d'attraper les trois amis.,I té mizouké lé gad-la altrévé katman an nou-twa-a.
"Si tu veux alléger la voiture, demande à Robert de descendre.","Si ou lé aléyé machin-an, mandé Wobè désann."
Je connais presque tous les pays de l'archipel guadeloupéen.,Sé près tou lé péy lot-ko-a Ganmeyan-la mi konnet.
Sous le commandement du roi Lion…,Sous konmand chèf Lion lewa…
"Aux abords de la ville, dans ce petit bourg de marins-pêcheurs.","Adjiden lavil, adan bèkòsè-a."
Ces questions le tourmentaient sans répit.,Sé lè-a ka batizé'y :(arga).
Rigobert dont le visage dégoulinait de sang.,Rigobè tou visaj-li té gadé a-ya déliyé san.
"Quand la quatrième nuit arriva, Macaque, Tigre et Lapin se retrouvèrent devant une vieille Masure.","Lè katjé-tjèzm la té vini, Makak, Tig épi Lapen té ka ba'y koté an vié Maza."
Cette femme n'a pas un beau visage mais elle est baisable.,Fanm-tala pa ni an bèl zotj-ou mé i badéilos.
Tu donneras au mulet des amarres sèches.,Ou ké ba mizè-a zam lanmè.
"Pour que tu parviennes à faire cela, il ne faut pas que tu aies du caca dans la tête.","Pou ou paret fè sa, pa fo ou ni kaka adan tet-ou."
Leurs fusils pointés dans la colonne vertébrale des nègres-blancs à matraque blanche.,Fizié yo plwintjé adan kolon vètbal Neg-blanch matrak blanch.
Tu sais que je ne peux pas obtenir de mutation.,Ou sav za ki man pé pa gadé latransfer.
La rumeur populaire affirme que c'est la mafia qui l'a tué.,Rimore-di-moun ka di sé lamafi-a ki touyé'y.
C'était pareil que le défilé carnavalesque du mercredi des cendres.,Sé té menm jan-ou-menm défi-tou-liktou-a dimanch gras la.
Caché sous les plis de chair de la peau.,Ka kaché anba pli chè lapo-a.
Quelque chose a dû le dégoûter.,Yonn za ki dji dégouté'y.
Il est passé dans tous les ministères pour demander de l'argent.,I pasé adan tout minisitag-la pou mandé lajan.
Tout près des vagues se trouve une rivière qui pénètre dans l'embouchure avec des glouglous.,Anyè kan lè'y la sé an rivyè ki ni la anbouchi-a ka chanté glouglou.
Va chercher un litre d'huile pour ta mère.,Alé chaché an lit lannwit pou man'w-ya.
Tout leur plaisir consistait à inciter les gens qui n'avaient jamais tâté du jeu des dés à se lancer dans une partie de serbi.,"Tout lajwa-yo, sé té di pezot-tiber-kou-tou san oken jwe dé jé-tala pran silans-polang."
Ceux qui se sont embarqués dans la banane après lui…,Sa ki pwandé lanmizik apré'y…
"Car, tous les jours, pour que je n'aille pas marronner, on m'attache avec un petit cordon.","Pas, tout jou, pou mwen pa pati maronnen, yo ka ataché mwen ek an ti kowdon."
Il s'était envoyé sept grogs.,I té san-mwen kit gwoch.
Je vous mets au défi de découvrir mes plumes ?,Man ka mété'w o défi pou ou désidé trapé bann zwèl-mwen an?
N'ouvre pas la bouche pour dire des paroles stupides.,Pa ouvè lapoch-ou pou di parol-ou dimilzin.
Il dormait chez sa grande-tante.,I té ka dòmi kay gran-nezé'y.
Oseriez-vous vous moquer des ordres que j'ai donnés ?,Osa ou za riyé lézòd-mwen di ?
Mano déclara cela d'une manière gauche.,Mano chayé sa an manniè adyarga.
Même si c'est la fonction essentielle.,Menmsi sé sa ki lefonksion esantisèl.
"Ce petit garçon ne mange pas, les vers lui piqueront la poitrine.",Ti gason-an pa ka manjé- yo ké piké'y dan pèktiral.
N'êtes-vous donc pas sa mère ?,Ozonbo ou pa lanmè'y ?
Je passerai chez Eva prendre ta mallette.,Sa ki chennen'w a mwen ké touyé asou'w- a dabò.
Le cheval qui a la grosse crinière.,Chouval-la ki ni gran pen kouwé lan.
"La forêt n'est pas souillée, c'est formidable.","Lafowé-la pa lasaliné, sa zot !"
"C'est à ce moment-là qu'elle vit une fille si belle, si appréciable, qu'elle crut qu'il s'agissait de la Sainte Vierge.","Sé lè-tala i wè an ti fi si bel, si ésitab, i kriyé sa sé Sent Vièj."
Où vit ta belle-sœur à présent ?,Koté belsè ki laprezan ?
"Les garçons faisaient déjà l'école buissonnière, le ventre rempli de cannes à sucre","Les ti-gason té ja kayilosé, vant pétri kab kann didan"
L'un d'eux avait pondu des oeufs de lézard.,"An dè kouyonnen, i té pwan za liziè."
"Les grandes personnes qui ont réussi, grâce à l'argent, à gagner quelques miettes d'instruction.","Gran moun-ya ki rivé, andidan kò-yo, gangnen an ti miétz lidisyon."
"A la manière d'agir de cet homme, il vous montre au contraire qu'il est intelligent.","An manniè agiman nonm-lan, i ka montré'w o kontrè ki i ni lidé."
"C'est un remède composé d'huile de ricin, de miel et d'orange sucrée.","Sé an latil ki twojou, grenmillet, lamonnéz pezé."
Mais il avait pris une conduite.,Men i té pwan chimen égran-ne.
A côté d'un gros nid de fourmi.,Ada koté an gwo nid founmi.
"Toute son arrogance s'était envolée, ce n'était plus la même femme.","Tout lasiran-di i té ni la té pété dabò, sé pa menm fimenn-an."
"Un jour qu'il était saoul, écoutez ce qu'il a déclaré à sa concubine.","An jou i té-ya fè plen la, kiti sa i di konfidans-li."
Il adorait toutes les femmes.,I té ka renmen chak fanm.
Il a perdu toutes ses épargnes quand sa maison a brûlé.,I pèdi toutépagn-li lè lakay-li brilé.
"Mais c'est toi qui leur a appris à quelle lune planter, à quelle lune fouiller.","Mé sé'w-ya i aprann yo à sé lannuit la planté, à sé lannuit la fouyé."
Les béliers ont écrasé le coq.,Zafié égranmen kon kòk la.
"Il a infligé une cinglante défaite aux soldats de Bonaparte, puis les a jetés à la mer.","Ni an badéilos solda Bónapat, i fòté yo a koté la mè."
Et il entra dans la maison à la recherche d'un couteau.,É i anté adan kay-la chaché an kouto.
Macaque en vint à gagner toute la somme d'argent.,Makak gagnen lanmizè-a-ou.
Il se moquait de l'autre.,I té ka chimbé lot-la.
Laisse le directeur déduire ce qu'il veut !,Tidiréktè-a adédi sa i lé !
"Porte-moi, berce-moi, caresse-moi !","Apoté mwen, bésé mwen, karesé mwen !"
Un gentleman comme lui aurait fait quelque chose d'aussi malhonnête ?,An manniè jenti kon li ta fè an bagay bad ?
C'était le dernier rejeton de la lignée d'Eudipe.,Sé té dènié grennz liné E-rip la.
Mais nous reprendrons cette conversation un autre jour.,Men nou ké repwan pawol-tala dot jou.
Sur une île appellée Madinina,Sézon turras éti an ti lézil ekrit Madinin.
