request,answer
"De nos jours, il faut être un expert en tout.",Ojodui falé bien ou ekzanpé an tout bagay.
Une femme de Fond Massacre travaillait déjà le jardin à la fourche.,An fanm Fod Masak té ja kay foumet jaden-an.
"Cheval, mon vieux, tu iras chercher Colibri.","Chouval, mon vié, ou ké alé chaché kolibri."
L'apiculture demande énormément de patience.,Apikilti réléve bien adan pasians.
"Mon mandat, ma chérie !","Mandan mwen, lanmou !"
Il se vit dans un tribunal où des crapauds à la gueule cadenassée et aux pattes attachées en croix étaient fichés sur une tige de bambou.,I wè tè-a atè an tribinal ek montjoliman zorozo dlo-diko ki chabilé épi kò'y ek rasé an krwa a té fiké anlè an grenn bwa banbou.
C'est exactement ce que je vous dis !,Sé ekzatman sa-mwen di'w !
Tous vos cheveux n'ont pas encore blanchi.,Tout chivé'w pa choblan ankò.
"Alors son cœur qui battait comme un tambour de lagghia, se calma.","Alow kok-tjè'y ki té ka bat kon an fonm lágia bouté'y ki mò, falMé."
Mon médecin a fait un stage d'acupuncture en Chine.,Doktè-mwen fè yonn stages akiponkti an Lachin.
"Alors, son ventre éclata : boum !","Alò, vant-li kraze : bòm !"
Il était un bel homme de grande taille aux cheveux bouclés mais cependant avec des manières un peu rustres.,"I té an bel nonm, an nonm gran bout, ek chivé ki té bousont, mé toujou édi toujou a, an ti chosman mal-maniè."
Ses manières suffisantes ne datent pas d'hier.,"Manniè koze'y ki fobobò la ay-la, sé pa dépi Jannvié pasé."
"Dieu parlait aux hommes, comme moi je vous parle en ce moment.","Bondié té ka palé ba moun, kon man ka palé ba zot anni-matjé'y lajounen."
"Sa grand-mère, une vieille maman Tortue.","Bab-la, an vié mannglout."
Je t'interdis de mettre les pieds dans la commune de Fond Grand-Anse.,An dlo mwen ka défann'w mennen pié'w adan lamonn Fond Gran-Dans-la.
Je n'ai fait que m'enfuir droit devant moi.,Sé laflè-mwen goumen mwen wonm.
"Puis, ils le jetèrent face contre terre dans un cachot de la république.",Apré yo jété'y doubout asou latè ba'y an kachò boutè'y la répiblik la.
Les mères qui dorlotent leurs enfants.,Manman koukoulé timanmay.
Il redonna à l'île le nom que lui avaient donné les Arawaks : Haïti.,I ped ay foulé tchenbé ba liz-la non lé Arawak ki sé Ayiti.
Je vois des cieux noyés d'eau.,Man ka wè siel olandjé.
Comme ces gens sont indigestes...,Makak di danm la endijès...
"Fais ta prière, le jour t'appartient.","Pwian-tala fè an ti lapché-tala, jou-la, sé jou-ou, wi."
La disette a commencé à les faire maigrir.,Ladizet koumansé fè yo maji.
Elle a atteint l'âge de la vieillesse à l'hôpital psychiatrique de Colson.,I rivé la viésichs a kolonn.
Il faisait des dessins.,I té ka fè dizon.
Les ingénieurs agronomes que l'Etat avait envoyés.,Sé jan jéniè-agwonòm leta té voyé.
Il avait envoyé les gardes afin d'attraper les trois amis.,I té fè gouvelman-an voyé pran lé twa zami-a.
"Si tu veux alléger la voiture, demande à Robert de descendre.","Si ou lé réléjé wonm-lavo, mandé Wobè disann."
Je connais presque tous les pays de l'archipel guadeloupéen.,Man rété oben wonntjennè pié-nè Gwadloup.
Sous le commandement du roi Lion…,Anba koumandmant wènondo-Lan…
"Aux abords de la ville, dans ce petit bourg de marins-pêcheurs.","Asou mawobill la, dann ti bè maridiè-a."
Ces questions le tourmentaient sans répit.,Sé question-tala té ka tourmenté'y oben wonkrich.
Rigobert dont le visage dégoulinait de sang.,Rigobè ek fas-tala dékrichonnen san.
"Quand la quatrième nuit arriva, Macaque, Tigre et Lapin se retrouvèrent devant une vieille Masure.","Lè ki vini katjim-nwit yan, Makak, Twoumaten, Lapen dévan an vié zafè."
Cette femme n'a pas un beau visage mais elle est baisable.,"Fanm-tala pa ni bèl wonmich, mé i bésab."
Tu donneras au mulet des amarres sèches.,Ou ké ba lanmolé dé mèk siz.
