request,answer
"De nos jours, il faut être un expert en tout.","An jou, i ni tan-nou ka mandé chak moun viré ekspè an sa yo ka fè."
Une femme de Fond Massacre travaillait déjà le jardin à la fourche.,Yonn ti fanm Fonn-Maskrav té ka travay latè a adan.
"Cheval, mon vieux, tu iras chercher Colibri.","Chwal, gran moun, ou ké alé chaché Kolibri."
L’apiculture demande énormément de patience.,"An silans, ek ki dèmi-onz :(arga)"
"Mon mandat, ma chérie !","Mandé-mwen, chimè !"
Il se vit dans un tribunal où des crapauds à la gueule cadenassée et aux pattes attachées en croix étaient fichés sur une tige de bambou.,I té ka fè yonn ti konmansman notaryat la lè yonn gou bèché yonn sel out silansach.
C’est exactement ce que je vous dis !,Sa pa ni menm dout'.
Tous vos cheveux n'ont pas encore blanchi.,Toutt' sé toufwé'w ja pa vini an blan.
"Alors son cœur qui battait comme un tambour de lagghia, se calma.","Ansanm, ké co a-ou ki té bat kayilosou, té pézé."
Mon médecin a fait un stage d’acupuncture en Chine.,Médecin-mwen té fè yon staj annakilpilti an Lachin.
"Alors, son ventre éclata : boum !","Ansanm, vèntè adyikile : boum !"
Il était un bel homme de grande taille aux cheveux bouclés mais cependant avec des manières un peu rustres.,"Y té on bel nonm obenpié, ek an kabéch anlò obenpié anlò bouklé. Mé i té ni dé fason obenpié ki té asé rèd."
Ses manières suffisantes ne datent pas d’hier.,Sa mannyè dè fè i ka gadé tout moun anba'y pa niou dè jou.
"Dieu parlait aux hommes, comme moi je vous parle en ce moment.","Dikontè i té ka pòlé avèk moun, asi mwen menm lajounen an.\n"
"Sa grand-mère, une vieille maman Tortue.","Sa gran-mè, anviéy manmay Tòti."
Je t’interdis de mettre les pieds dans la commune de Fond Grand-Anse.,Mwen interdi'w mache adan konmansman Fonnwonsg.
Je n'ai fait que m'enfuir droit devant moi.,Mwen selman fui.
"Puis, ils le jetèrent face contre terre dans un cachot de la république.","An menm, yo voye- l a ba a ba atè a."
Les mères qui dorlotent leurs enfants.,Moman ki chouké pwopwiyet yo.
Il redonna à l'île le nom que lui avaient donné les Arawaks : Haïti.,Li bay l'isl-la non Arawak-tala : Ayiti.
Je vois des cieux noyés d’eau.,Mwen wè anlo ka tonbé adan lanmè.
Comme ces gens sont indigestes...,Sé moun sa a ka fè mwen mal atè.
"Fais ta prière, le jour t’appartient.",Fè sa ki a fè avan jou fini.
La disette a commencé à les faire maigrir.,La grangou té ka koumansé fè yo chivé.
Elle a atteint l’âge de la vieillesse à l’hôpital psychiatrique de Colson.,"Tala i tounen vieyo, i té adan lopital kolòn."
Il faisait des dessins.,Té ké fè dlo.
Les ingénieurs agronomes que l’Etat avait envoyés.,Anjenyé agronom ki péyi té voyé- yo.
Il avait envoyé les gardes afin d’attraper les trois amis.,Anlo moun pa ka vinn renmen menm abitan an.
"Si tu veux alléger la voiture, demande à Robert de descendre.","Si ou vlé soulajé machin-la, mande a Robert pou l' desann."
Je connais presque tous les pays de l’archipel guadeloupéen.,Mwen konnen prèske tout péi-awoupéyen'an.
Sous le commandement du roi Lion…,Anba koumandwa lewa leon…
"Aux abords de la ville, dans ce petit bourg de marins-pêcheurs.","Adjilé, davwè adan lòtbò dlo, ant la vil la épi la mè."
Ces questions le tourmentaient sans répit.,Sa kéksions ki té ka tourmanté'y san répi.
Rigobert dont le visage dégoulinait de sang.,Rigobè asi figi a té ka pousé san.
"Quand la quatrième nuit arriva, Macaque, Tigre et Lapin se retrouvèrent devant une vieille Masure.","An lè i té ni la katryèm nui, Makak, tig an lapen té ka maché. Yo té vwè yon vyé kay."
Cette femme n’a pas un beau visage mais elle est baisable.,Ket nonm ka toujou remin machann.
Tu donneras au mulet des amarres sèches.,Ou kay ba bourik la sèl.
"Pour que tu parviennes à faire cela, il ne faut pas que tu aies du caca dans la tête.","Pou ou ka fè sa, pa ni zafè bouboun anlè tèt aw."
Leurs fusils pointés dans la colonne vertébrale des nègres-blancs à matraque blanche.,"Difé yo plézant, la bouboun for, an dot splifie."
Tu sais que je ne peux pas obtenir de mutation.,Ou sav ki mwen ka mandé adan.
La rumeur populaire affirme que c’est la mafia qui l’a tué.,Sé an ti bruit ki ka fèt ki di sé la mafi-a ki touy li.
C'était pareil que le défilé carnavalesque du mercredi des cendres.,Sé té menm bagay oben défilé kaynaval a té fet a mékrédi aswè a Karèm.
Caché sous les plis de chair de la peau.,Tibwen anba kwoke kò a.
Quelque chose a dû le dégoûter.,Yonn té ké fâché'y.
Il est passé dans tous les ministères pour demander de l’argent.,An ka pase asi tout minis pou mandé lajan.
Tout près des vagues se trouve une rivière qui pénètre dans l’embouchure avec des glouglous.,"Toutprèdévwag, anlo dlo ka koulé."
Va chercher un litre d’huile pour ta mère.,Alé chèché an lit d'ay pou sa moun-ja.
