request,answer
"De nos jours, il faut être un expert en tout.","An jou, i fo sav tou sa."
Une femme de Fond Massacre travaillait déjà le jardin à la fourche.,Yonn fanm didye Fond Massak té ja travayé jaden ann fòk.
"Cheval, mon vieux, tu iras chercher Colibri.","Chwal, granmenaj, ou p'ap chache Kolibri."
L’apiculture demande énormément de patience.,Fè savann la ésé ko'dé ti moun-tala.
"Mon mandat, ma chérie !","Mandé mwen, manman !"
Il se vit dans un tribunal où des crapauds à la gueule cadenassée et aux pattes attachées en croix étaient fichés sur une tige de bambou.,I té ka mache adan an tribinal lè z'afouya ki yo té ka fè yo gadé bouché ataché ek yo menm mété adan ankòd an kwa adan an bwa bétrav.
C’est exactement ce que je vous dis !,Se sa mwen ka di'w !
Tous vos cheveux n'ont pas encore blanchi.,Toutt' sévés ou oben-toutt' foul'ach.
"Alors son cœur qui battait comme un tambour de lagghia, se calma.","Ansanm kok ki té bat kon an tanbou lagwiyad, ralanti'y."
Mon médecin a fait un stage d’acupuncture en Chine.,Doktè an mwen fè yon staj an akiponkti an Lachin.
"Alors, son ventre éclata : boum !","Lè sa, vant-li koule : boum !"
Il était un bel homme de grande taille aux cheveux bouclés mais cependant avec des manières un peu rustres.,"I té on bèl nonm gran-matjè ki té ni cheve yo frizé, mé yo té un ti pè brut."
Ses manières suffisantes ne datent pas d’hier.,Sa mouni mannyè fè wonmennen pa té komansé lannen pase.
"Dieu parlait aux hommes, comme moi je vous parle en ce moment.","Dikonnè ti moun-tala, sé mwen menm ki ka wouvè bouch mwen jòdi a."
"Sa grand-mère, une vieille maman Tortue.","Sé gran-moun'ala, an vyé maman-tout."
Je t’interdis de mettre les pieds dans la commune de Fond Grand-Anse.,Mwen défann'w pwan pyé nan konmansman Fond-Grand-Ans-la.
Je n'ai fait que m'enfuir droit devant moi.,Mwen sòt fonn dèyè mwen.
"Puis, ils le jetèrent face contre terre dans un cachot de la république.","An menm, yo jete li a tè an ba, adan an bwat nan peyi a."
Les mères qui dorlotent leurs enfants.,Madanm ki ba tout kè pou timoun yo.
Il redonna à l'île le nom que lui avaient donné les Arawaks : Haïti.,Li bay zile-a non Arawak yo te bay li a : Ayiti.
Je vois des cieux noyés d’eau.,Mi ka wè anlè adan.
Comme ces gens sont indigestes...,Kon sa moun sa ka fè mal atè.
"Fais ta prière, le jour t’appartient.",Fè tout bagay kòmsadwa oben yonn respire ek lòt.
La disette a commencé à les faire maigrir.,Lajounen ki kòmansé fè yo griyen.
Elle a atteint l’âge de la vieillesse à l’hôpital psychiatrique de Colson.,"I té vini vyé, lè i té adan lopital sikatwik Colson-la."
Il faisait des dessins.,É té ka fè dizon.
Les ingénieurs agronomes que l’Etat avait envoyés.,Zanjiniè agwonom ki leta t'otodisipline.
Il avait envoyé les gardes afin d’attraper les trois amis.,I té ka vwèti mennen gad épi yo té ka kouwònmen pou yo pran tékadri zanmi yo.
"Si tu veux alléger la voiture, demande à Robert de descendre.","Si'w vlé fè wonnwiv, mande Roberto pou'y ka désann."
Je connais presque tous les pays de l’archipel guadeloupéen.,Mwen konnen preské tout péyi lachipel Gwadloup.
Sous le commandement du roi Lion…,Anba lòdwa lewa Lwaz…
"Aux abords de la ville, dans ce petit bourg de marins-pêcheurs.","Anlo lavil la, adan piti bè dlo, adan bò bout."
Ces questions le tourmentaient sans répit.,Sa kesyon-tala pa janmen laché'y.
Rigobert dont le visage dégoulinait de sang.,Rigobert ki té ka sanmwen sang.
"Quand la quatrième nuit arriva, Macaque, Tigre et Lapin se retrouvèrent devant une vieille Masure.","Lè semenn-la rive nan katriyèm jou, Makak, Tig ak Lapen t'ap mache tou pre nouvo kay sa yo."
Cette femme n’a pas un beau visage mais elle est baisable.,"Kèk nèg ka di yo pa ja ni doubout, ni chabin."
Tu donneras au mulet des amarres sèches.,Sa ké éséyé rétéché oben dévini foul.
"Pour que tu parviennes à faire cela, il ne faut pas que tu aies du caca dans la tête.","Pou ou fè sa, pa ni pou ou gen kaka adan tèt ou."
Leurs fusils pointés dans la colonne vertébrale des nègres-blancs à matraque blanche.,"Zotach fusil-w, yo rivé adan do nèg-blanch yo a yo rivé adan do'y avèk yo."
Tu sais que je ne peux pas obtenir de mutation.,Sa sav ou pa ka jwenn anlojman lòt kote.
La rumeur populaire affirme que c’est la mafia qui l’a tué.,An ti moun ka palé toupatou ki sé la mafé ki touyé'y.
C'était pareil que le défilé carnavalesque du mercredi des cendres.,Sé té menm bagay avèk défilé a lendépandans.
Caché sous les plis de chair de la peau.,Kaché anba fòl bouch-tala.
Quelque chose a dû le dégoûter.,Yonn bagay tou nèf a fè l dégouT.
Il est passé dans tous les ministères pour demander de l’argent.,I té ka fè tourministrè yo pou mandé lajan.
Tout près des vagues se trouve une rivière qui pénètre dans l’embouchure avec des glouglous.,"Tout pré dou vagues, an lari ki ka pénétré adan lo bous a lanmè, ifé zot ka glouglouté."
Va chercher un litre d’huile pour ta mère.,Alé chèché yon lit d'zilye pou sa man'w.
Tout leur plaisir consistait à inciter les gens qui n’avaient jamais tâté du jeu des dés à se lancer dans une partie de serbi.,Tout plas yo te nan fè wout bonè yo te konn monte moun ki pa t janm jwe dadi pou yo antre nan yon pati sèbi.
Ceux qui se sont embarqués dans la banane après lui…,Sa ki tonbe anlè bannann.
"Car, tous les jours, pour que je n'aille pas marronner, on m'attache avec un petit cordon.","Pas an jou, pou pa mwen pa faché, yo mwen ba mwen on ti kòd."
Il s'était envoyé sept grogs.,I té ka ba'y manjé-vant.
Je vous mets au défi de découvrir mes plumes ?,An ba wout savann !
N’ouvre pas la bouche pour dire des paroles stupides.,Pa louvwi bouch aw pou di sornèt.
Il dormait chez sa grande-tante.,I té ka dòmi oben gran-tant-li.
Oseriez-vous vous moquer des ordres que j’ai donnés ?,Oswa ou ké fè obenkonsidiré mwen ki fwa ?\n
Mano déclara cela d’une manière gauche.,Mano déklaré sa an mové fason.
Même si c’est la fonction essentielle.,Menm si se fonksion ki enpòtan.
"Ce petit garçon ne mange pas, les vers lui piqueront la poitrine.","Ti gason sa a pa manje, ou ké vwè sa ka pike'y."
N’êtes-vous donc pas sa mère ?,"Donk, ou pa manman'y ?"
Je passerai chez Eva prendre ta mallette.,Mwen p'ap pase kay Eva pran valiz ou.
Le cheval qui a la grosse crinière.,Bèl cheval.
"La forêt n’est pas souillée, c’est formidable.","An fò fwat-la pa sal, oben-tout."
"C’est à ce moment-là qu’elle vit une fille si belle, si appréciable, qu’elle crut qu’il s’agissait de la Sainte Vierge.","Se té adan moun ki bonMoman GwanMoman té ka wouvwi yo dènyé soulié  ant # atè'y, yo ni en frè toute sé talè ki ka vini bay moun yo moun ki bonMoman GwanMoman."
Où vit ta belle-sœur à présent ?,Ki kote bèl-sè a rété kounyeya ?
"Les garçons faisaient déjà l’école buissonnière, le ventre rempli de cannes à sucre","An silans, ti gason yo te ké fimen bout ak zabitid ki ka pouswiv yo."
L’un d’eux avait pondu des oeufs de lézard.,Yonn nan yo te fè zo dizonnte.
"Les grandes personnes qui ont réussi, grâce à l’argent, à gagner quelques miettes d’instruction.","Adilt ki té ja réysi, gras a lajan, adan sa yo ka rété ki yo qualifié."
"A la manière d'agir de cet homme, il vous montre au contraire qu'il est intelligent.","An fason ki pou moun sa a fè, li fè wout."
"C’est un remède composé d’huile de ricin, de miel et d’orange sucrée.",Sa sé yon rèd ki fèt avèk dilo ki mòso ki fèt dèyè rad ki zoranj.
Mais il avait pris une conduite.,Men li té ni on konpòtman.
A côté d’un gros nid de fourmi.,Ajipon an ba la.
"Toute son arrogance s'était envolée, ce n'était plus la même femme.",Tout fimen ki té ka sòti an lò ki té ka fimen'y sòti. Sa ki té ka fimen pa té menm moun-la ankò.
"Un jour qu’il était saoul, écoutez ce qu’il a déclaré à sa concubine.","Yonn jou lè l te bwason, tann sa li di kon sa fanmwaz li."
Il adorait toutes les femmes.,I té ka adanmen tout fanm.
Il a perdu toutes ses épargnes quand sa maison a brûlé.,"Kan kay-li fini boule, i ped tou sa i té ni an fonm."
"Mais c’est toi qui leur a appris à quelle lune planter, à quelle lune fouiller.","Men se ou menm ki té ka mandé ba yo lè pou yo simené, lè pou yo fanné."
Les béliers ont écrasé le coq.,Mouton-tchè a ékrazé koté-a.
"Il a infligé une cinglante défaite aux soldats de Bonaparte, puis les a jetés à la mer.","Lè sa a, li bat solda yo Bonaparte a, pase yo lontan dlo."
Et il entra dans la maison à la recherche d’un couteau.,I té ka chèché an ké.
Macaque en vint à gagner toute la somme d’argent.,Makak ni atè oben dèpi doubout.
