request,answer
"De nos jours, il faut être un expert en tout.","A jòdi jou, fok ou sé on espè an tout bagay."
Une femme de Fond Massacre travaillait déjà le jardin à la fourche.,An fanm Fonn Masak té ka travay jaden épi fouch-la.
"Cheval, mon vieux, tu iras chercher Colibri.","Chouval, kanmarad, ou kay chèché Kolibri."
L’apiculture demande énormément de patience.,Lapikilti ka mandé an chay pasyans.
"Mon mandat, ma chérie !","Misié ou Madanm, pliché ba mwen an lis antye a fraz pou mwen kapab ba ou tradiksyon an kreyòl matiniké."
Il se vit dans un tribunal où des crapauds à la gueule cadenassée et aux pattes attachées en croix étaient fichés sur une tige de bambou.,"I té wè kò'y adan on tribinal koté té ni dèyè bwa ka palé épi labouk yo té fèmen epi sé pat yo té maré an kwa, yo té pété asou on tij bannbou."
C’est exactement ce que je vous dis !,Sa sé égzaktéman sa mo ka di zot !
Tous vos cheveux n'ont pas encore blanchi.,Tout cheve zot pa fini blanchi ankò.
"Alors son cœur qui battait comme un tambour de lagghia, se calma.","Alò, kè'y ki té ka bat kon an tanbou lagya, kalme."
Mon médecin a fait un stage d’acupuncture en Chine.,Doktè mwen-an fè on staj dakiponkti an Lachin.
"Alors, son ventre éclata : boum !","Alò, vant li peté : boum !"
Il était un bel homme de grande taille aux cheveux bouclés mais cependant avec des manières un peu rustres.,I té en bel nonm gran tay épi chivé frizé mé kanmenm épi manniè en jan groso mòd.
Ses manières suffisantes ne datent pas d’hier.,I manniè'y sifizan-lan pa sòti dè yè.
"Dieu parlait aux hommes, comme moi je vous parle en ce moment.","Bondié té ka palé épi nonm, kon mwen ka palé ba zot la a."
"Sa grand-mère, une vieille maman Tortue.","Manman-lan Tòti granmanman'y la, i té yon vye fanm."
Je t’interdis de mettre les pieds dans la commune de Fond Grand-Anse.,Mwen entèdi'w mété pyé'w dan komin Fon Gran-zans.
Je n'ai fait que m'enfuir droit devant moi.,Mwen sèlman kouri dwèt douvan mwen.
"Puis, ils le jetèrent face contre terre dans un cachot de la république.","Apré sa, yo jété'y vant atè an fon yon kacho répiblik la."
Les mères qui dorlotent leurs enfants.,Sé manman-an ki ka dorloté yich yo.
Il redonna à l'île le nom que lui avaient donné les Arawaks : Haïti.,I rété non Arawak la té ja ba'y la : Ayiti.
Je vois des cieux noyés d’eau.,Mi sé siel ki neyi adan dlo.
Comme ces gens sont indigestes...,Kon sa moun la pèz...
"Fais ta prière, le jour t’appartient.","Fè lapriyè-aw, lajounen sé ta'w."
La disette a commencé à les faire maigrir.,La disèt konmansé fè yo magri.
Elle a atteint l’âge de la vieillesse à l’hôpital psychiatrique de Colson.,I sòti nan laj vyeyès la adan lopital sikyatrik Colson.
Il faisait des dessins.,I té ka fè dé zéba.
Les ingénieurs agronomes que l’Etat avait envoyés.,Sé enjényé agwonòm-lan ki Léta té voyé.
Il avait envoyé les gardes afin d’attraper les trois amis.,I té voyé sé gawd-la pou trapé sé twa zanmi-a.
"Si tu veux alléger la voiture, demande à Robert de descendre.","Si ou lévéjé loto-a, mandé Robert désann."
Je connais presque tous les pays de l’archipel guadeloupéen.,Mwen konnèt pres la tout péyi ki an chenn zil Gwadloup la.
Sous le commandement du roi Lion…,Anba komannman Rwa Lion...
"Aux abords de la ville, dans ce petit bourg de marins-pêcheurs.","Alantou lavil la, adan ti bouk la di sé mawché-péchè la."
Ces questions le tourmentaient sans répit.,Ses kesyon-an té ka tòmanté'y san répit.
Rigobert dont le visage dégoulinait de sang.,Rigobè ki figi'y té ka koulé épi san.
"Quand la quatrième nuit arriva, Macaque, Tigre et Lapin se retrouvèrent devant une vieille Masure.","Lè katjenm nwè-a wivé, Makak, Tig é Lapen wè kò yo douvan an vié kay."
Cette femme n’a pas un beau visage mais elle est baisable.,Madanm-lasa pa ni on bel figi mé i bon pou fè bagay.
Tu donneras au mulet des amarres sèches.,Ou kay ba milé an kod sek.
"Pour que tu parviennes à faire cela, il ne faut pas que tu aies du caca dans la tête.","Pou ou sa fè sa, fok pa ni kk an tèt'w."
Leurs fusils pointés dans la colonne vertébrale des nègres-blancs à matraque blanche.,Yo té ka pwen zafè yo anlè lakolòn vètébral béké-mawon épi baton blan.
Tu sais que je ne peux pas obtenir de mutation.,Ou sav mwen pa pé jwenn mutasyon.
La rumeur populaire affirme que c’est la mafia qui l’a tué.,Rimè popilè-a ka di sé la mafiya ki tjwé'y.
C'était pareil que le défilé carnavalesque du mercredi des cendres.,Sa té menm kon défilé kanaval mèkrèdi lé sann.
Caché sous les plis de chair de la peau.,Kaché anba pli lachè a lapo.
