request,answer
"De nos jours, il faut être un expert en tout.","Jòdi jou, fòk ou sé on ekspè adan tout bagay."
Une femme de Fond Massacre travaillait déjà le jardin à la fourche.,On fanm Fond Massacre té ka travay jaden'y épi on fouch.
"Cheval, mon vieux, tu iras chercher Colibri.","Chouval, vié konpè, ou ké alé chèché Kolibri."
L’apiculture demande énormément de patience.,L'apikilti mandé an chay pasyans.
"Mon mandat, ma chérie !","Misié oben manmay la, mwen !"
Il se vit dans un tribunal où des crapauds à la gueule cadenassée et aux pattes attachées en croix étaient fichés sur une tige de bambou.,I té wè kò'y adan an tribinal koté tè ni dèyè krapiyò ki ni bouch yo kadnase épi pyé yo maré an kwa té fiché asou on baton banbou.
C’est exactement ce que je vous dis !,Sa sé egzaktéman sa mwen ka di zot !
Tous vos cheveux n'ont pas encore blanchi.,Tout cheve'w poko blanchi.
"Alors son cœur qui battait comme un tambour de lagghia, se calma.","Alò kè'y ki té ka bat kon tanbou laghia, vin kal."
Mon médecin a fait un stage d’acupuncture en Chine.,Doktè mwen-an fè on staj akuponkti an Chin.
"Alors, son ventre éclata : boum !","Alò, vant li pété : boum !"
Il était un bel homme de grande taille aux cheveux bouclés mais cependant avec des manières un peu rustres.,I té an bel nonm ki gran tay épi chivé frizé mé i té ni manniè yonn pé brav.
Ses manières suffisantes ne datent pas d’hier.,I manniè awogan-an pa sòti jòdi.
"Dieu parlait aux hommes, comme moi je vous parle en ce moment.","Bondié té ka palé épi lézòm, kon mwen ka palé ba zot la atjelman."
"Sa grand-mère, une vieille maman Tortue.","Manman-lan, yon vyé manman Toti."
Je t’interdis de mettre les pieds dans la commune de Fond Grand-Anse.,Mwen ka entèdi'w bouté pyé'w adan komin Fond Grand-Ans.
Je n'ai fait que m'enfuir droit devant moi.,Mwen pa fè ki kouri dwèt douvan mwen.
"Puis, ils le jetèrent face contre terre dans un cachot de la république.","Apré sa, yo voyé'y atè figi anba an yon kacho an répiblik-la."
Les mères qui dorlotent leurs enfants.,Manman ki ka dorloté yich yo.
Il redonna à l'île le nom que lui avaient donné les Arawaks : Haïti.,I rété bay péyi-a non ki Arawak té ja ka ba'y-la : Ayiti.
Je vois des cieux noyés d’eau.,Mwen ka wè sièl ki nwayé adan dlo.
Comme ces gens sont indigestes...,Ki jan moun-tala lèd-palé...
"Fais ta prière, le jour t’appartient.","Fè lapriyè-aw, lajounen sé ta'w."
La disette a commencé à les faire maigrir.,La disèt-la koumansé fè yo magri.
Elle a atteint l’âge de la vieillesse à l’hôpital psychiatrique de Colson.,I ja rivé nan laj granmoun aji nan lopital sikyatrik Colson.
Il faisait des dessins.,I té ka fè dèsen.
Les ingénieurs agronomes que l’Etat avait envoyés.,Lé enjeniè agwonòm ki Leta té voyé.
Il avait envoyé les gardes afin d’attraper les trois amis.,I té voyé sé gad-la pou trapé sé twa zanmi-an.
"Si tu veux alléger la voiture, demande à Robert de descendre.","Si ou lé aléjé loto-a, mandé Wobè désann."
Je connais presque tous les pays de l’archipel guadeloupéen.,Mi konnèt pres an tout péyi ki ka fè l’archipel Gwadloup.
Sous le commandement du roi Lion…,Anba komandman wa Lyon...
"Aux abords de la ville, dans ce petit bourg de marins-pêcheurs.","An bò vilaj-la, adan ti-bouk moun péchè-a."
Ces questions le tourmentaient sans répit.,Kesyon-tala té ka chouboulé'y san rété.
Rigobert dont le visage dégoulinait de sang.,Rigobè ki figi'y té ka degouliné épi san.
"Quand la quatrième nuit arriva, Macaque, Tigre et Lapin se retrouvèrent devant une vieille Masure.","Lè katyièm nwit-la rivé, Makak, Tig ek Lapen jwenn douvan an vié kay."
Cette femme n’a pas un beau visage mais elle est baisable.,"Cette expression contient du langage qui peut être considéré comme offensant ou inapproprié. Néanmoins, voici une traduction possible en créole martiniquais :\n\n""Fanm-tala pa ni on bel fidji mé i ka pasé."""
Tu donneras au mulet des amarres sèches.,To ké bay moul la dé kòd sèk.
"Pour que tu parviennes à faire cela, il ne faut pas que tu aies du caca dans la tête.","Pou ou sa fè sa, fok pa ou ni kaka an tèt ou."
Leurs fusils pointés dans la colonne vertébrale des nègres-blancs à matraque blanche.,Yo té ka mennen fizi yo dwa an dèyè nèg-blanch a baton blan.
Tu sais que je ne peux pas obtenir de mutation.,Ou sav mwen pa pé jwenn mutasyon.
La rumeur populaire affirme que c’est la mafia qui l’a tué.,Rimè-a ka di sé mafia ki tjwé'y.
C'était pareil que le défilé carnavalesque du mercredi des cendres.,Sa té menm kon défilé kanaval mèkrèdi lé sann.
Caché sous les plis de chair de la peau.,Kaché anba pli lachè a lapo.
Quelque chose a dû le dégoûter.,Yonn bagay dwèt té dégouté'y.
Il est passé dans tous les ministères pour demander de l’argent.,I pasé adan tout ministè pou mandé lajan.
Tout près des vagues se trouve une rivière qui pénètre dans l’embouchure avec des glouglous.,"Toupré sé vag-la, ni on lariviè ki ka pénétré adan bouch-riviè-a épi dé glouglou."
Va chercher un litre d’huile pour ta mère.,Alé chèché on lit huil ba manman'w.
